Source,Target,Country,Region,Exports,Imports
EU,Mexico,Switzerland,Europe,380243,291072
EU,Turkey,Taiwan,Asia,447565,287442
EU,NZ,Tajikistan,Asia,1786,3139
El Salvador,USA,Thailand,Asia,267492,208784
Georgia,Kazakhstan,Turkey,Asia,225264,219397
Georgia,Moldova,Turkmenistan,Asia,8972,2693
Georgia,Russia,UAE,Asia,217742,300000
Georgia,Turkey,UK,Europe,468059,631859
Georgia,Turkmenistan,Ukraine,Europe,65870,53978
Georgia,Uzbekistand,USA,Americas,1753941,2407543
Georgia,CHINA,Uzbekistan,Asia,14034,21867
Georgia,Ukraine,Vietnam,Asia,406755,271111
Guatemala,USA,,,,
Honduras,USA,,,,
Iceland,CHINA,,,,
India,Chile,,,,
India,Japan,,,,
India,Korea,,,,
India,Malaysia,,,,
India,Mauritius,,,,
India,Nepal,,,,
India,Singapore,,,,
India,Sri Lanka,,,,
Indonesia,Chile,,,,
Indonesia,Japan,,,,
Indonesia,Pakistan,,,,
Israel,USA,,,,
Japan,CHINA,,,,
Japan,Malaysia,,,,
Japan,Mexico,,,,
Japan,Mongolia,,,,
Japan,Peru,,,,
Japan,Philippines,,,,
Japan,Singapore,,,,
Japan,Switzerland,,,,
Japan,Thailand,,,,
Japan,UK,,,,
Japan,USA,,,,
Japan,Vietnam,,,,
Jordan,USA,,,,
Kazakhstan,Russia,,,,
Kazakhstan,Ukraine,,,,
Kazakhstan,Uzbekistan,,,,
Korea,Canada,,,,
Korea,Chile,,,,
Korea,CHINA,,,,
Korea,Colombia,,,,
Korea,EU,,,,
Korea,NZ,,,,
Korea,Peru,,,,
Korea,Singapore,,,,
Korea,Turkey,,,,
Korea,UK,,,,
Korea,USA,,,,
Korea,USA,,,,
Korea,Vietnam,,,,
Kyrgyzstan,Kazakhstan,,,,
Kyrgyzstan,Moldova,,,,
Kyrgyzstan,Russia,,,,
Kyrgyzstan,Tajikistan,,,,
Kyrgyzstan,Ukraine,,,,
Kyrgyzstan,Uzbekistan,,,,
Laos,Thailand,,,,
Macau,CHINA,,,,
CHINA,Macau,,,,
Hong Kong,CHINA,,,,
CHINA,Hong Kong,,,,
Malaysia,Chile,,,,
Malaysia,Pakistan,,,,
Malaysia,Turkey,,,,
Maldives,CHINA,,,,
Marshall Islands,USA,,,,
Mauritius,CHINA,,,,
Mexico,USA,,,,
Morocco,USA,,,,
NZ,CHINA,,,,
NZ,Malaysia,,,,
NZ,Singapore,,,,
NZ,Taiwan,,,,
NZ,Thailand,,,,
Nicaragua,USA,,,,
Oman,USA,,,,
Pakistan,CHINA,,,,
Pakistan,Mauritius,,,,
Pakistan,Sri Lanka,,,,
Pakistan,USA,,,,
Palau,USA,,,,
Panama,USA,,,,
Peru,CHINA,,,,
Peru,USA,,,,
Philippines,EU,,,,
Singapore,CHINA,,,,
Singapore,Costa Rica,,,,
Singapore,EU,,,,
Singapore,Panama,,,,
Singapore,Peru,,,,
Singapore,Taiwan,,,,
Singapore,Turkey,,,,
Singapore,UAE,,,,
Singapore,UK,,,,
Singapore,USA,,,,
Sri Lanka,Iran,,,,
Sri Lanka,Singapore,,,,
Switzerland,CHINA,,,,
Taiwan,El Salvador,,,,
Taiwan,Guatemala,,,,
Taiwan,Nicaragua,,,,
Taiwan,Panama,,,,
Taiwan,Paraguay,,,,
Tajikistan,Belarus,,,,
Belarus,Tajikistan,,,,
Tajikistan,Russia,,,,
Tajikistan,Ukraine,,,,
Tajikistan,Uzbekistan,,,,
Thailand,Chile,,,,
Thailand,Peru,,,,
Turkmenistan,Russia,,,,
UK,Georgia,,,,
USA,CHINA,,,,
Uzbekistan,Moldova,,,,
Uzbekistan,Russia,,,,
Uzbekistan,Ukraine,,,,
Vietnam,Chile,,,,
Vietnam,EU,,,,
Vietnam,UK,,,,
